Issue Type,Issue key,Issue id,Summary,Assignee,Assignee Id,Reporter,Reporter Id,Priority,Status,Resolution,Created,Updated,Due date
Bug,FAS-91,10286,(change_password) U-02 | API đổi mật khẩu không trả về thời gian cập nhật mật khẩu,baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,19/Jun/26 6:13 PM,19/Jun/26 10:45 PM,23/Jun/26 12:00 AM
Bug,FAS-90,10285,(update_profile) PUT /profile API cập nhật thông tin cá nhân không trả về trường status trong response.,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,19/Jun/26 5:53 PM,19/Jun/26 11:33 PM,23/Jun/26 12:00 AM
Bug,FAS-89,10284,(view_profile)GET /profile không trả về thông tin giới tính (gender) theo yêu cầu.,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,19/Jun/26 5:21 PM,20/Jun/26 1:04 AM,23/Jun/26 12:00 AM
Bug,FAS-88,10283,API Xóa sản phẩm thiếu cờ 'success' trong response trả về (Xoá sản phẩm),Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,19/Jun/26 4:55 PM,19/Jun/26 10:28 PM,23/Jun/26 12:00 AM
Bug,FAS-87,10282,API Sửa sản phẩm thiếu object 'category' trong dữ liệu trả về (Sửa sản phẩm),Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,19/Jun/26 4:53 PM,19/Jun/26 9:20 PM,23/Jun/26 12:00 AM
Bug,FAS-86,10281,API Thêm sản phẩm thiếu object 'category' trong response trả về (Thêm sản phẩm),Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,19/Jun/26 4:51 PM,20/Jun/26 12:06 AM,23/Jun/26 12:00 AM
Bug,FAS-85,10280,API danh sách sản phẩm mất bộ lọc keyword khi chuyển trang (Danh Sách Sản Phẩm Admin),baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,19/Jun/26 4:40 PM,20/Jun/26 12:57 AM,23/Jun/26 12:00 AM
Bug,FAS-84,10279,(register)Register API không trả về trường password trong response sau khi đăng ký thành công.,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Medium,Done,Done,19/Jun/26 4:06 PM,19/Jun/26 11:32 PM,23/Jun/26 12:00 AM
Bug,FAS-83,10278,[API][Admin] 'user_detail' - API xem chi tiết khách hàng (GET /admin/users/{id}) trả về lỗi không đồng nhất format và lộ namespace nội bộ khi user không tồn tại,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,19/Jun/26 3:09 PM,19/Jun/26 5:25 PM,23/Jun/26 12:00 AM
Bug,FAS-82,10277,"[API][Admin] 'user_list' - Phân trang (pagination) không ổn định do thiếu secondary sort key, có thể gây trùng/mất user giữa các trang",baophg1564,712020:e1c14f9f-9b92-4f1b-a54b-42a4968cc3d3,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,19/Jun/26 3:08 PM,19/Jun/26 3:54 PM,23/Jun/26 12:00 AM
Bug,FAS-81,10276,[API] [Admin] 'order_status' - API cập nhật trạng thái đơn hàng không validate luồng chuyển trạng thái hợp lệ (cho phép nhảy cóc / đi ngược),vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,19/Jun/26 3:06 PM,20/Jun/26 12:49 AM,23/Jun/26 12:00 AM
Bug,FAS-80,10275,[API] [Admin] 'order_detail' - chi tiết đơn hàng (Admin) trả về 2 trường giá gây nhầm lẫn — `gia` (giá hiện tại) và `price` (giá lúc mua),Trí Đinh Quốc,712020:97b8593c-a56b-448c-9008-1c0a1468219a,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,19/Jun/26 3:05 PM,19/Jun/26 10:14 PM,23/Jun/26 12:00 AM
Bug,FAS-79,10274,[API] [Admin] 'order_list' - `orWhere` không được nhóm trong closure — tìm kiếm theo ID đơn hàng bỏ qua filter status,Nguyễn Quang Trung,712020:03f30b8f-3b49-4942-98b2-230bf8aaf1b2,Khang Trương,712020:667770d3-cf1d-419a-826d-1b7b3df322c8,Medium,Done,Done,19/Jun/26 3:02 PM,19/Jun/26 4:56 PM,23/Jun/26 12:00 AM
Bug,FAS-78,10273,(Chi tiết sản phẩm) Bổ sung dữ liệu kích cỡ (sizes) cho Chi tiết sản phẩm ,vynnp6064,712020:b4440e20-a317-4091-8a09-b4558ff44d54,Quốc Trưởng,712020:6a901181-0b50-43a6-89ec-6c36bffea756,Medium,Done,Done,19/Jun/26 2:47 PM,20/Jun/26 12:56 AM,23/Jun/26 12:00 AM
